"Уравнение, которое меняет взгляд на мир [Veritasium] - Продолжительность: 17 минут",/watch?v=DH1cv0Rdf2w
Коронавирус vs организм [AsapSCIENCE] - Продолжительность: 8 минут 22 секунды,/watch?v=ChKQgpFxWeA
Как пережить расставание? [AsapSCIENCE] - Продолжительность: 3 минуты 35 секунд,/watch?v=x62sLl6einw
Интерференция одиночных фотонов [Veritasium] - Продолжительность: 6 минут 13 секунд,/watch?v=No2H8ppHs4I
Как избавиться от вредных привычек? [AsapSCIENCE] - Продолжительность: 4 минуты 20 секунд,/watch?v=tNB3pKJyYCk
Эти частицы нарушают закон! [Veritasium] - Продолжительность: 8 минут 41 секунда,/watch?v=3eLY9EyGUaI
Роберт Сапольски — Игры тестостерона. Отрывок аудиокниги - Продолжительность: 40 минут,/watch?v=D6UYrA4F0oQ
Роберт Сапольски | О близости людей и других приматов [Vert Dider] - Продолжительность: 4 минуты 24 секунды,/watch?v=y2xZNML8VpM
Биология поведения человека. Новое интервью Роберта Сапольски [Vert Dider] 2019 - Продолжительность: 1 час 18 минут,/watch?v=VKyY-cFX0K8
Как сдержать новогодние обещания? [Veritasium] - Продолжительность: 8 минут 54 секунды,/watch?v=z2E7V5l_LyE
Вояджеры. Куда дальше? [Fraser Cain] - Продолжительность: 8 минут 52 секунды,/watch?v=8WUOBzGOC_s
Вояджеры. Где они сейчас? [Fraser Cain] - Продолжительность: 10 минут 54 секунды,/watch?v=q3pbulUTdfY
Справедливость: Лекция #6. Мотив имеет значение [Гарвард] - Продолжительность: 53 минуты,/watch?v=cU1KytKdWaU
Справедливость: Лекция #5. Войска и матери по найму [Гарвард] - Продолжительность: 53 минуты,/watch?v=wm94IHgkSPU
